name,typ,node,maxcap,losscap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ODESSA_NG,ngcc,bus_5262,95.5,95.5,7.478472200211501,28.65,3,286.5,6685.0,95.5,4,4
WICHITAFALLS_C,coal,bus_5262,726.0,726.0,10.535452646325,217.8,4,2178.0,50820.0,239.58,12,12
WICHITAFALLS_NG,ngcc,bus_5262,80.0,80.0,7.251792658811767,24.0,3,240.0,5600.0,80.0,4,4
SILVER_NG,ngcc,bus_5262,537.7,537.7,7.748874464016301,161.31,3,1613.1000000000001,37639.0,537.7,4,4
SNYDER_NG,ngcc,bus_5262,153.89999999999998,153.89999999999998,7.334356359503801,46.17,3,461.69999999999993,10772.999999999998,153.89999999999998,4,4
ALEDO_NG,ngcc,bus_5262,4.8,4.8,7.1798591905837,1.44,3,14.399999999999999,336.0,4.8,4,4
GRAHAM_NG,ngcc,bus_5262,634.7,634.7,8.2004152572867,190.4,3,1904.1000000000001,44429.0,634.7,4,4
GRANBURY_NG,ngcc,bus_5262,1146.0000000000002,1146.0000000000002,7.700011352822857,343.8,3,3438.000000000001,80220.00000000001,1146.0000000000002,4,4
PALOPINTO_NG,ngcc,bus_5262,603.6,603.6,7.55840906236548,181.08,3,1810.8000000000002,42252.0,603.6,4,4
MONAHANS_NG,ngcc,bus_1001,1097.4,1097.4,7.761301056499167,329.22,3,3292.2000000000003,76818.0,1097.4,4,4
IRAAN_NG,ngcc,bus_1001,7.6,7.6,7.177396319774401,2.28,3,22.799999999999997,532.0,7.6,4,4
ODESSA_NG_2,ngcc,bus_1001,1630.28,1630.28,7.754984779264057,489.0899999999999,3,4890.84,114119.59999999999,1630.28,4,4
SAVOY_NG,ngcc,bus_5084,1175.4,1175.4,8.4414615390645,352.62,3,3526.2000000000003,82278.0,1175.4,4,4
SHERMAN_NG,ngcc,bus_5084,803.19,803.19,8.0375499534632,240.96,3,2409.57,56223.3,803.19,4,4
PARIS_NG,ngcc,bus_2001,1358.3200000000002,1358.3200000000002,7.716968681039225,407.4599999999999,3,4074.9600000000005,95082.40000000001,1358.3200000000002,4,4
DENTON_NG,ngcc,bus_5007,128.1,128.1,7.373180384160401,38.43,3,384.29999999999995,8967.0,128.1,4,4
POOLVILLE_NG,ngcc,bus_5007,746.01,746.01,7.975623171294901,223.8,3,2238.0299999999997,52220.7,746.01,4,4
BRIDGEPORT_NG,ngcc,bus_5007,1290.38,1290.38,7.7643186119676,387.12,3,3871.1400000000003,90326.6,1290.38,4,4
BASTROP_NG,ngcc,bus_6018,1233.99,1233.99,7.967879602427781,370.2,3,3701.9700000000003,86379.3,1233.99,4,4
MARION_NG,ngcc,bus_6018,1088.22,1088.22,7.754121998007702,326.4599999999999,3,3264.66,76175.40000000001,1088.22,4,4
ROCKDALE_C,coal,bus_6018,1252.1,1252.1,11.043,375.63,4,3756.2999999999997,87647.0,413.193,12,12
AUSTIN_NG,ngcc,bus_6018,1659.1999999999998,1659.1999999999998,7.5262292757634,497.75999999999993,3,4977.599999999999,116143.99999999999,1659.1999999999998,4,4
CEDARCREEK_NG,ngcc,bus_6018,618.6899999999999,618.6899999999999,7.836336461125601,185.64,3,1856.0699999999997,43308.299999999996,618.6899999999999,4,4
NEWBRAUNFELS_NG,ngcc,bus_6018,992.2,992.2,7.81210483074896,297.68,3,2976.6000000000004,69454.0,992.2,4,4
MISSION_NG,ngcc,bus_4040,528.99,528.99,7.740032893119101,158.7,3,1586.97,37029.3,528.99,4,4
LAREDO_NG,ngcc,bus_4040,263.6,263.6,7.594923470802301,79.08,3,790.8000000000001,18452.0,263.6,4,4
CHRISTINE_C,coal,bus_6199,410.0,410.0,10.625980392213,123.0,4,1230.0,28700.0,135.3,12,12
PEARSALL_NG,ngcc,bus_6199,267.6,267.6,7.3116146007129155,80.28,3,802.8000000000001,18732.0,267.6,4,4
SANANTONIO_NG,ngcc,bus_6199,247.0,247.0,7.280105518267314,74.1,3,741.0,17290.0,247.0,4,4
FANNIN_C,coal,bus_7098,622.4,622.4,11.032689076053002,186.72,4,1867.1999999999998,43568.0,205.392,12,12
NURSERY_NG,ngcc,bus_7098,215.2,215.2,7.30609814591958,64.56,3,645.5999999999999,15064.0,215.2,4,4
VICTORIA_NG,ngcc,bus_7098,479.3,479.3,7.6859099543294676,143.78,3,1437.9,33551.0,479.3,4,4
POINTCOMFORT_NG,ngcc,bus_7098,1062.5,1062.5,7.599309680235475,318.75,3,3187.5,74375.0,1062.5,4,4
WHARTON_NG,ngcc,bus_7098,580.09,580.09,7.54387827273826,174.01,3,1740.27,40606.3,580.09,4,4
CORPUSCHRISTI_NG,ngcc,bus_4071,730.2,730.2,7.9578239695340995,219.06,3,2190.6000000000004,51114.0,730.2,4,4
SANTAROSA_C,coal,bus_4071,200.5,200.5,9.881302521330332,60.14999999999999,4,601.5,14035.0,66.165,12,12
BROWNSVILLE_NG,ngcc,bus_4071,1522.71,1522.71,7.661466620595182,456.81,3,4568.13,106589.7,1522.71,4,4
BISHOP_NG,ngcc,bus_4017,44.2,44.2,7.3113050100105,13.26,3,132.60000000000002,3094.0,44.2,4,4
GREGORY_NG,ngcc,bus_4017,948.99,948.99,7.68229407648855,284.7,3,2846.9700000000003,66429.3,948.99,4,4
CORPUSCHRISTI_NG_3,ngcc,bus_4017,1001.31,1001.31,7.709051572772616,300.39,3,3003.93,70091.7,1001.31,4,4
DALLAS_NG,ngcc,bus_5385,1861.42,1861.42,7.923007350567749,558.4200000000001,3,5584.26,130299.40000000001,1861.42,4,4
ENNIS_NG,ngcc,bus_5385,418.0,418.0,7.847955367775101,125.4,3,1254.0,29260.0,418.0,4,4
MIDLOTHIAN_NG,ngcc,bus_5385,2016.6,2016.6,7.985410251848401,604.98,3,6049.799999999999,141162.0,2016.6,4,4
GREENVILLE_NG,ngcc,bus_5103,84.7,84.7,7.4409575530843,25.41,3,254.10000000000002,5929.0,84.7,4,4
MCKINNEY_NG,ngcc,bus_5103,1358.4,1358.4,7.798375374246514,407.53,3,4075.2000000000003,95088.0,1358.4,4,4
MTENTERPRISE_NG,ngcc,bus_5103,939.6,939.6,7.9283259946473,281.88,3,2818.8,65772.0,939.6,4,4
MOUNTPLEASANT_C,coal,bus_5103,1980.0,1980.0,11.107824845595,594.0,4,5940.0,138600.0,653.4,12,12
ARLINGTON_NG,ngcc,bus_5323,1327.21,1327.21,8.029573272622722,398.16,3,3981.63,92904.7,1327.21,4,4
